Russian,English
я,I am
не,not
что,what
в,v
и,and
ты,you
это,this is
на,on
с,with
он,he
мы,we
как,how
да,Yes
мне,to me
у,W.
нет,No
меня,me
так,So
но,but
а,a
его,his
все,all
она,she
тебя,you
о,O
если,if
за,per
бы,would
тебе,you
они,they
чтобы,to
же,Same
есть,there is
просто,simply
из,from
к,To
для,for
ну,Well
когда,when
хорошо,OK
здесь,here
по,on
был,was
знаю,I know
только,only
всё,all
было,It was
вас,you
может,maybe
нас,US
вот,here
от,from
быть,to be
кто,who
будет,will
почему,why
вам,to you
их,their
очень,very
могу,can
уже,already
спасибо,thanks
или,or
нам,US
еще,yet
там,there
нужно,necessary
сейчас,now
где,where
чем,how
хочу,want
ничего,nothing
этого,of this
была,was
мой,my
ее,her
ладно,OK
знаешь,you know
п,NS
до,before
этом,it is
теперь,now
думаю,think
больше,more
её,her
со,SO
раз,once
ему,his
надо,necessary
время,time
этот,this
ли,Li
ещё,yet
пока,while
даже,even
привет,Hey
сказал,said
себя,myself
должен,should
тоже,too
хочешь,want
давай,let's
что-то,something
никогда,never
эй,Hey
того,Togo
тогда,then
него,His
ни,n.
тут,here
были,were
конечно,Certainly
правда,truth
об,about
моя,my
пожалуйста,please
тобой,you
сказать,to tell
сегодня,today
один,one
лучше,better
можешь,can
сюда,here
мной,me
значит,means
сделать,do
всегда,always
дело,a business
можно,can
ей,her
должны,must
порядке,order
без,without
день,day
том,volume
буду,will
делать,make
хотел,Wanted
чего,what
эти,these
много,many
после,after
этим,that
всего,Total
во,in
твой,is yours
ним,NIM
лет,years
боже,God
них,them
сэр,Sir
ведь,after all
мистер,Mister
жизнь,life
потом,after
ней,her
такой,such
который,which the
всех,All
через,across
им,them
возможно,Maybe
немного,Little
такое,that
слишком,too much
себе,To yourself
зачем,why
должна,should
моей,My
люди,people
знаете,know
этой,This
думаешь,Think
свою,my
точно,for sure
человек,human
твоя,yours
под,under
сказала,said
назад,back
из-за,due to
эту,This
можем,Can
случилось,It happened
мама,Mother
мог,Could
вместе,together
отец,father
сделал,did
мои,my
кажется,seems
друг,friend
куда,where
никто,no one
эта,this
которые,which
два,two
тот,that
сколько,how
понимаю,Understand
снова,again
жизни,Life
нравится,Like
людей,of people
помочь,help
видел,saw
люблю,I love
хочет,wants
место,a place
знать,know
кто-то,somebody
прости,sorry
отлично,Great
похоже,it seems
парень,guy
домой,home
всем,All
деньги,money
иди,Idi
времени,of time
дома,at home
именно,exactly
доктор,doctor
думал,thought
говорил,spoke
делаешь,do
будем,We will
прямо,directly
стоит,costs
поговорить,talk
найти,find
разве,not
слушай,listen
своей,his
лишь,only
ага,yeah
можете,You can
простите,sorry
хотела,wanted
сам,myself
что-нибудь,something
тем,thread
будешь,You will be
прошу,I beg
три,three
деле,business
хотите,want to
говорить,talk
давайте,Let's
совсем,at all
знал,knew
знает,knows
какой,which
моего,mine
скажи,tell
дом,House
дела,Affairs
вами,you
свои,their
ж,J.
говорит,is talking
несколько,several
должно,must
про,pro
ваш,your
происходит,occurs
жаль,it's a pity
туда,there
действительно,really
папа,dad
завтра,tomorrow
оно,it
черт,heck
одна,one
перед,front
наш,our
уверен,sure
отсюда,From here
нужна,Need
самом,very
тех,those
свой,mine
мою,Mo.
кого,whom
верно,right
работу,Work
каждый,each
твоей,Your
будут,will be
хватит,enough
понял,understood
нее,HERE
уж,О.
имя,name
против,against
кое-что,something
пор,pore
чём,how
раньше,earlier
говорю,I say
более,more
надеюсь,hope
итак,so
при,at
ваша,yours
вообще,generally
пошли,went
мать,mother
нельзя,it is forbidden
наверное,maybe
нами,us
твои,yours
могли,Could
дай,give
ради,RF
всю,All
ребята,guys
ко,NS
хотя,although
понимаешь,understand
идти,go
этих,These
откуда,where
такая,Such.
ясно,clear
другой,another
извините,sorry
вижу,I see
видеть,see
над,above
могут,can
равно,equals
мисс,miss
скоро,soon
будто,as if
зовут,name
виду,see
наши,our
думала,thought
послушай,Listen
между,between
своего,Own
вопрос,question
этому,it
почти,almost
года,of the year
человека,man
которая,that
подожди,wait
руки,hands
нормально,fine
такие,such
возьми,Take
минут,minutes
извини,Sorry
вещи,things
могла,Could
смотри,Look
хоть,though
работа,Work
пару,pair
сын,a son
ваше,yours
дня,day
пора,It's time
неё,Nee
жить,live
видишь,See
достаточно,enough
господи,God
быстро,quickly
твою,yours
весь,all
убить,Kill
ночь,night
говоришь,say
собой,by himself
скажу,Say
готов,ready
слышал,heard
какая,which
посмотри,look
первый,first
самое,most
видела,Seeed
пусть,let be
месте,place
нашли,Found
сказали,Said
плохо,poorly
смогу,I can
ваши,yours
отца,Father
детей,Children
знаем,Know
рад,glad
никаких,nic
имею,I have
миссис,Mrs.
иногда,sometimes
смерти,of death
своих,of their
пойду,I'll go
брат,brother
вроде,like
рядом,nearby
мир,peace
произошло,occurred
которую,which
сделала,Made
говорила,spoke
знала,knew
мое,my
одного,one
таким,Thus
помощь,help
такого,Such
кем,by whom
насчет,about
вчера,yesterday
случае,case
увидеть,see
нашей,ours
говорят,they say
правильно,right
убил,killed
одно,one
пойти,Go
друга,friend
сама,itself
долго,for a long time
работать,work
дверь,a door
делает,Does.
женщина,female
важно,important
кроме,except
будь,be
собираюсь,going to
вашей,you
нужны,Need
здорово,great
номер,room
проблема,problem
проблемы,Problems
денег,of money
чёрт,heck
хороший,good
твоего,yours
одну,one
дальше,farther
вернуться,return
давно,for a long time
последний,last
ночи,Night
узнать,to know
уверена,sure
машину,Machine
права,rights
пять,five
моих,My
также,also
тому,Tom
вечером,in the evening
дети,children
опять,again
вообще-то,Actually
серьезно,Seriously
работает,works
своим,Own
сначала,at first
две,two
одной,one
моим,My
те,those
жена,wife
думаете,Though
помнишь,remember
глаза,eyes
ними,Nimi
чувак,dude
ночью,at night
чувствую,feel
взять,take
сразу,straightaway
утром,in the morning
часть,part
придется,have to
стать,become
идея,idea
дорогая,expensive
прекрасно,wonderful
слова,the words
сделали,made
видели,Videli
наша,our
сердце,heart
помню,I remember
парня,Guy
момент,moment
утро,morning
здравствуйте,Hello
стал,became
скорее,quicker
ох,Oh
большой,big
кто-нибудь,Anyone
часов,hours
год,year
друзья,friends
сильно,strongly
говори,say
смысле,sense
которой,which
уйти,go
которого,whom
капитан,captain
работы,Work
любовь,love
дочь,daughter
новый,new
боюсь,afraid
имеет,It has
стой,Stone
дней,days
той,Toy
голову,head
ах,Oh
столько,so many
понятно,clear
дать,to give
девушка,young woman
довольно,enough
доме,House
вечер,evening
оба,both
пойдем,let's go to
увидимся,I'll see you
шанс,chance
хорошая,Good
прежде,Before
сделаю,Make
какого,Some
быстрее,faster
понять,understand
рассказать,tell
вашего,your his
бог,the God
интересно,interesting
затем,then
умер,died
обо,ob
никого,nobody
парни,Guys.
самый,most
твое,your
вон,won
пришел,Came
чтоб,To
поверить,to believe
слово,word
будете,will be
нашел,found
милая,cute
странно,strange
какие,what kind
ой,Oh
та,TA
однажды,once
сможешь,You can
получить,receive
обычно,usually
ума,mind
полагаю,I suppose
алло,Hello
посмотреть,look
иначе,otherwise
наших,ours
тело,body
хотели,Wanted
свое,Note
пришли,Came
моё,my
другие,other
выглядит,Looks like
подумал,thought
лицо,face
приятно,nice
мам,Mom
говорите,say
обратно,back
нашего,OUR
телефон,telephone
мире,world
честь,honor
господин,Mr.
доброе,Kind
план,plan
другом,Friend
час,hour
джон,John
пути,Path
делал,Delul
типа,Type
посмотрим,let's see
насколько,aside
пытался,tried to
правду,truth
решил,decided
поздно,late
нем,Nem.
работе,work
любит,loves
хотят,Want
кому,to whom
сестра,sister
какой-то,Somehow
места,Places
кого-то,Someone
скажешь,say
следующий,next
других,Others
получил,received
кстати,by the way
говорили,spoke
пришла,Came
безопасности,security
рада,pleased
когда-нибудь,someday
город,town
внимание,Attention
кофе,coffee
которое,that
вся,all
семья,a family
конец,the end
позже,later
думать,think
спать,sleep
вернулся,Returned
остаться,stay
некоторые,some
кровь,blood
оружие,weapon
пришлось,I had to
хуже,worse
дорогой,expensive
полиция,police
сможем,can be able to
понимаете,understand
четыре,four
которых,which
ужасно,terrible
ждать,wait
способ,way
делаю,I do
готовы,ready
совершенно,Top
смотреть,watch
вернусь,Return
большое,Great
единственный,the only one
вперед,forward
часа,hours
где-то,somewhere
муж,husband
идет,Gone
таких,such
ребенка,child
машина,a car
стороны,Parties
смог,smog
сына,Son
играть,play
сами,ourselves
верю,Belief
честно,honestly
нашла,Found
звучит,Sounds
угодно,wisdom
как-то,Somehow
руку,Hand
начала,Start
перевод,translation
какое,which
взял,took
станет,will be
пытаюсь,Trying
внутри,inside
знали,knew
новости,news
добрый,kind
подождите,Wait
скажите,tell
ребенок,child
вашу,Your
мальчик,boy
осталось,left
делаете,Doing
году,year
мере,measure
поняла,understood
отношения,relationship
далеко,far
вокруг,around
хотим,We want
слышала,I heard
двух,two
приятель,Buddy
никому,Nick
мужчина,Man
неделю,week
вернуть,return
смерть,death
сих,Sih
ту,that
сможет,will be able
the,Their
дайте,give
двое,two
видите,See
долларов,dollars
крови,blood
решение,solution
путь,way
следует,follow
неужели,Really
около,about
готова,Ready
семьи,families
идем,I go
смотрите,See
круто,cool
история,history
вдруг,all of a sudden
спросить,ask
i,I.
твоих,Two
второй,second
вина,guilt
джек,Jack
женщины,women
нашу,Our
заткнись,shut up
минуту,minute
собираешься,Going
твоим,yours
шоу,show
прощения,Forgiveness
больно,painfully
машины,cars
пап,Pop
трудно,hard
постоянно,constantly
поможет,will help
проблем,Problems
дерьмо,shit
полиции,Police
начать,begin
знают,Know
лучший,best
добро,good
спасти,to rescue
рождения,Birth
оставить,leave
чарли,Charlie
любишь,Love
конце,End
забыл,forgot
месяцев,months
часто,often
мило,cute
комнате,Room
нему,Him
матери,Mothers
милый,cute
полностью,fully
школе,school
леди,lady
серьёзно,Seriously
убили,killed
случай,happening
джо,Joe
убийство,murder
послушайте,Listen
посмотрите,Look
пошел,Went
никакого,nic
сделаем,Let's do
говоря,Speaking
неплохо,not bad
использовать,use
прошлой,Last
иду,I go
узнал,found out
прекрати,Stop
чуть,slightly
держи,keep
невозможно,impossible
господа,Lord
слушайте,Listen
наше,our
машине,Machine
сэм,Sam
свет,light
образом,way
иметь,have
другое,Other
другого,Other
шесть,six
людям,People
погоди,wait a minute
имени,name
детка,baby
недели,weeks
меньше,smaller
легко,easily
крайней,extreme
девочка,girl
придётся,have to
мало,few
ненавижу,Hate
you,You.
последние,Last
насчёт,about
выглядишь,are looking
сообщение,message
думает,Thinks
друзей,Friends
обещаю,I promise
агент,agent
вместо,instead of
самого,itself
настолько,so
ответ,answer
детектив,detective
понятия,Concepts
родители,parents
показать,show
поехали,go
стало,became
мэм,Mam.
своими,N.
всей,all
очевидно,obviously
помогите,Help
маленький,small
школу,school
пожаловать,Please
твоё,your
либо,or
забрать,take
прошло,Passed
особенно,especially
имеешь,have
истории,stories
эм,Em
вопросы,questions
большая,Big
минутку,MENT
пол,floor
остановить,stop
чему,what
свидания,dates
обязательно,necessarily
городе,city
убийца,murderer
сделай,Do It
a,A.
ваших,yours
любви,Love
спокойной,calm
б,B.
своё,Honey
мадам,Madame
идите,go
выйти,log off
делают,Make
немедленно,immediately
делай,Make
возможность,possibility
человеком,man
бывает,it happens
ужин,dinner
моем,My
купить,buy
позвонить,Call
наконец,finally
стала,Stated
любой,any
клянусь,Klyano
смешно,funny
абсолютно,absolutely
всему,Everything
переводчики,Translators
забудь,forget
секунду,give me a sec
выбор,choice
тысяч,thousand
потерял,lost
майкл,Michael
волнуйся,Get worried
ноги,legs
таком,Such.
означает,means
встретиться,meet
известно,Known
работаю,working
замечательно,great
любом,Anyone
оставь,Leave
связи,Communication
боль,pain
выпить,drink
представить,imagine
убийства,Murders
малыш,baby
умерла,died
воды,water
окей,OK
речь,speech
хорошие,good ones
поводу,occasion
перестань,stop
увидел,had seen
повезло,Lucky
президент,the president
мужик,Men
которым,which
прошлом,Past
дам,Dame
десять,ten
умереть,die
поговорим,Talk
отцом,Father
тихо,quiet
оставил,Left
пистолет,gun
начал,started
сложно,hard
города,cities
неделе,week
хотелось,I wanted
принять,accept
историю,history
босс,boss
держать,Keep
пойдём,let's go to
подумала,thought
фильм,movie
слышишь,Hearing
рано,early
удачи,good luck
еду,Food
словно,Like
причина,cause
пришёл,Came
э,NS
компании,Companies
спокойно,calmly
подумать,think
вести,news
вещь,thing
брата,Brother
конца,End
получится,Whenever
блин,pancake
право,right
ввиду,in view
бога,God
по-моему,to my mind
подарок,present
комнату,room
мира,Mira
успокойся,take it easy
позволить,allow
моему,mine.
идёт,Found
самая,Samem
рассказал,talked
курсе,Kurs
намного,far
мистера,Mr.
женщин,women
тяжело,hard
ух,Wow
предложение,offer
одним,one
